,amenities,usableAreas,description,title,unitTypes,parkingSpaces,suites,bathrooms,usageTypes,bedrooms,neighborhood,lat,lon,condoFee,rentPrice,iptu
69,"['ELEVATOR', 'INTERCOM', 'ALARM_SYSTEM']",150.0,"IMPERDIVEL!!!<br><br>Apartamento de 150m²<br>com 3 quartos<br>1 suíte<br>1 banheiro social<br>Localizado no bairro Papicu, próximo a escolas, farmácias e muito mais.<br><br>AGENDE SUA VISITA! -","Apartamento com 3 dormitórios para alugar, 150 m² por R$ 1.500/mês - Papicu - Fortaleza/CE",APARTMENT,2.0,1.0,1.0,RESIDENTIAL,3.0,Papicu,-3.7304512,-38.5217989,700,1500,0
70,"['SERVICE_AREA', 'KITCHEN_CABINETS', 'ELECTRONIC_GATE']",55.0,"Portão automático, ao lado do Mercatil Ismael<br><br>Rua 02 nº 41, Conj. Santa Maria <br><br>02 suítes, 02 salas, cozinha com armário, área de serviços, quintal, 01 vaga.<br><br>Para maiores informações ligar://9.","Casa 02 suítes - Santa Maria 710,00",HOME,1.0,0.0,0.0,RESIDENTIAL,2.0,Parque Santa Maria,-3.809542,-38.546845,0,710,0
73,"['SPORTS_COURT', 'PARTY_HALL', 'ELECTRONIC_GATE']",60.0,"Apartamento com 2 quartos, banheiro, sala, cozinha, vaga na garagem. Próximo à UNIFOR, Uni7, Fórum Clóvis Bevilaqua e Colosso.<br>Água Fria Residencial - Rua Rosa Cordeiro / Cidade Ecologica, 80",Apto 2 quartos próximo à UNIFOR - Edson Queiroz,APARTMENT,1.0,0.0,0.0,RESIDENTIAL,2.0,Edson Queiroz,-3.773068,-38.469619,230,650,0
74,"['PARTY_HALL', 'GOURMET_BALCONY', 'SECURITY_24_HOURS']",55.0,"Adriano Freire Imóveis aluga apartamento MOBILIADO no Condomínio Spartacus, com 2 quartos (sendo 1 suíte), varanda, sala de estar e jantar, cozinha, área de serviço e 1 vaga de garagem. Já incluso água, gás e energia. NÃO ALUGAMOS PARA TEMPORADA. SOMENTE CONTRATOS DE LONGO PRAZO!<br><br><br>O condomínio dispõe de portaria 24h, salão de festas, são permitidos pets.<br><br><br>Localização: R. Joaquim Nabuco, 2399, a poucos metros da Av. Desembargador Moreira, na altura do Colégio Santo Inácio. <br><br><br>Agende uma visita pelo nosso WhatsApp Comercial: .<br><br><br>Atualizado em","Apartamento mobiliado, com 2 quartos, próximo a Av. Antônio Sales - AP7443",APARTMENT,1.0,1.0,1.0,RESIDENTIAL,2.0,Dionisio Torres,-3.746351,-38.504606,650,2300,70
75,"['COPA', 'KITCHEN', 'BACKYARD', 'SERVICE_AREA']",100.0,"Casa solta espaçosa ideal para viver em família! Com 3 quartos, ampla área de estacionamento e ótima localização na Barra do Ceará. Próximo a mercantis, padarias, pizzarias, escolas e comércios em geral, posto de combustível.<br>Imóvel conta com 300 m² de terreno, 100 m² de área construída, 3 quartos, 2 vagas de garagem., 2 salas, 2 banheiros e área de serviços.<br><br>Consulte um de nossos consultores, saiba mais informações e agende uma visita.",Casa Solta para venda e locação na Barra do Ceará,HOME,2.0,0.0,0.0,RESIDENTIAL,3.0,Barra do Ceará,-3.716829,-38.58824,0,2000,0
76,"['POOL', 'FURNISHED', 'ELEVATOR', 'GATED_COMMUNITY', 'GYM', 'GOURMET_SPACE', 'AIR_CONDITIONING', 'GARDEN', 'SERVICE_AREA', 'PLAYGROUND', 'COVERED_POOL', 'CHILDRENS_POOL', 'GREEN_SPACE', 'PARTY_HALL', 'BICYCLES_PLACE', 'CONCIERGE_24H', 'SECURITY_CABIN', 'RECREATION_AREA', 'BUILTIN_WARDROBE', 'BEDROOM_WARDROBE', 'KITCHEN_CABINETS', 'INTERNET_ACCESS', 'ELECTRIC_GENERATOR', 'LAUNDRY', 'ALARM_SYSTEM', 'TOYS_PLACE', 'SECURITY_CAMERA', 'FENCE', 'SAFETY_CIRCUIT', 'SERVICE_ENTRANCE', 'SIDE_ENTRANCE', 'ZEN_SPACE', 'WHIRLPOOL', 'PET_SPACE', 'HOT_TUB', 'HELIPAD', 'ADULT_POOL', 'HIKING_TRAIL', 'SKATE_LANE', 'WELL', 'ARTESIAN_WELL', 'SQUARE', 'RECEPTION', 'REDARIO', 'RESTAURANT', 'PATROL', 'MASSAGE', 'MEETING_ROOM', 'COVENTION_HALL', 'SOLARIUM', 'DRESS_ROOM2', 'WATCHMAN', 'DISABLED_ACCESS', 'CINEMA', 'SQUASH', 'GAMES_ROOM', 'SAUNA', 'SPA', 'INTEGRATED_ENVIRONMENTS', 'BATHTUB']",41.0,"O apartamento no Landscape Beira Mar, bairro Meireles possui 41 metros quadrados com 1 quarto sendo 1 suite com banheiro. Sala com Bicama e poltrona cama, ar, TV, wi-fi e cozinha equipada.<br>Um lugar encantador e divertido!<br>Apartamento lindo e completo no 12° andar no Landscape Beira Mar. Acomoda bem 4 adultos, podendo até 5, se uma for criança até 12 anos. Equipado com Ar, TVs e Wi-fi em todo o espaço. Cama casal queen/armários, cofre, roupas de cama/banho, sala com bicama e poltrona cama. Cozinha equipada e varanda com rede de proteção. <br>Descontos especial estadia 7 dias.<br>Recepção e Vigilância 24h, Vaga rotativa no local, Piscinas, Restaurante/Mercado, Lavanderia e Mercadinho 24h.<br>Diária R$ 259,00 para 2 pessoas valor de baixa estação. JULHO, JANEIRO E FERIADOS valor da diária R$ 399,00. <br>Hóspedes extra a partir de 3 R$ 39,00 reais por pessoais e diária.<br>Taxa única de limpeza e lavandeira R$ 180 por estadia.",Apartamento para aluguel com 41 metros quadrados com 1 quarto em Meireles - Fortaleza - Ceará,APARTMENT,1.0,1.0,1.0,RESIDENTIAL,1.0,Meireles,-3.725886,-38.49844,0,259,0
77,[],100.0,"Góis imobiliária aluga: casa no bairro sítio São João, av Val paraíso n200, casa ampla, reformada, arejada, cerca elétrica, portão automático e toda gradeada.<br><br>Casa com 03 quartos sendo 01 suite, sala, cozinha, 02 wcs, área de serviço, alpendre e 04 vagas de garagem.<br><br>Para mais informações nos tel://9.",Casa no bairro jangurussu/ sítio São João,HOME,4.0,0.0,0.0,RESIDENTIAL,3.0,Conjunto Palmeiras,-3.85078,-38.50652,0,1010,0
78,"['KITCHEN', 'SERVICE_AREA']",30.0,"(AP1588) Apartamento de 30m², sala, cozinha, quarto e wc social. 01 vaga pra moto. Próximo ao mercado São Sebastiao.<br><br> Nossa equipe está a sua disposição! Quer alugar um imóvel? Entre em contato com nosso setor de locação: (Whatsapp) Quer comprar um Imóvel? Entre em contato com nosso setor de vendas: (WhatsApp). É proprietário, tem imóvel para vender ou alugar? Entre em contato com nosso setor de captação: (Whatsapp) <br><br>Siga nossas redes sociais: Instagram: @setaimobiliaria FaceBook: /setaimobiliaria IMÓVEIS? SIGA A SETA! <br><br>Rua Barão de Aratanha, 1184 – Fátima – Fortaleza/CE","(AP1588) Apto 30m², 1 vaga moto-Centro",APARTMENT,0.0,0.0,0.0,RESIDENTIAL,1.0,Farias Brito,-3.72912,-38.54088,70,550,66
79,['PETS_ALLOWED'],31.0,"A quitinete está localizada próximo ao Extra Hipermercado no bairro Parreão, com 1 cômodo e banheiro.<br>(Condomínio inclui água)",Quitinete para alugar em Parreão - Fortaleza/CE,APARTMENT,0.0,0.0,0.0,RESIDENTIAL,1.0,Parreão,-3.759992,-38.539803,95,350,0
80,"['KITCHEN', 'INTERCOM', 'BACKYARD', 'SERVICE_AREA']",273.0,CA1336 - Imobiliária Luiz Rêgo aluga casa na Aldeota com :<br><br>Varanda / sala dois ambientes / banheiro social / 4 suítes sendo uma reversível / cozinha com armários / dependência completa / sistema de alarme incluso / quintal / 2 vagas.<br><br>Alugamos com fiador ou caução.<br><br>Para maiores informações: ou pelo WhatsApp / . -,"CA1336- Aluga casa na Aldeota com 4 quartos, 2 vagas próx. ao Supermercado Cometa e Restaurante Kina",HOME,2.0,4.0,4.0,RESIDENTIAL,4.0,Aldeota,-3.735013,-38.514656,0,3000,86
83,[],80.0,"- RUA GUSTAVO SAMPAIO, 823 – BAIRRO PARQUELANDIA / PROX. A HAMBURGUEIRA BRAYAN BURGUER- GARAGEM- SALA- 3 QUARTOS- 1 BANHEIRO SOCIAL- QUARTO DE SERVIÇO NA COZINHA- ÁREA DE SERVIÇO- NECESSITA DE MANUTENÇÃO- ALUGUEL R$ 1.200,00- INFORMAÇÕES (85)4005.8666 / (85)99927.9999 / (85)99637.6806<br> - Verificado:",Fortaleza - Casa Padrão - Parquelândia,HOME,1.0,0.0,0.0,RESIDENTIAL,3.0,Parquelândia,-3.7304512,-38.5217989,0,1200,0
84,"['GOURMET_BALCONY', 'INTERNET_ACCESS', 'BACKYARD']",75.0,"CASA DUPLEX COM 2 QUARTOS, VARANDA, 2 BANHEIROS SOCIAIS, 2 SALAS, COZINHA COM ARMÁRIOS E ÁREA DE SERVIÇO COM QUINTAL. A POUCOS METROS DA PARADA DE ÔNIBUS E PRÓXIMO A CONSTRUTOP. IMÓVEL COM IPTU ISENTO.","CASA DUPLEX COM 2 QUARTOS, VARANDA, 2 BANHEIROS SOCIAIS, 2 SALAS, COZINHA COM ARMÁRIOS E ÁREA DE SER",HOME,0.0,0.0,0.0,RESIDENTIAL,2.0,Parque Genibaú,-3.75794,-38.602694,0,750,0
86,"['BACKYARD', 'BALCONY', 'SERVICE_AREA']",200.0,"Casa com 200m² no bairro Barra do Ceará, localizada na rua Antares, a poucos passos da Av. Coronel Carvalho, bem próxima ao Centerbox Supermercados. Imóvel com 2 quartos, sendo 1 suíte, sala, cozinha, área de serviço, banheiro social, quintal, terraço, áreas frontal e lateral, poço profundo, piso de cerâmica e 4 vagas na garagem. Agende sua visita e aproveite!",FORTALEZA - Casa Padrão - BARRA DO CEARA,HOME,4.0,1.0,1.0,RESIDENTIAL,2.0,Barra do Ceará,-3.7304512,-38.5217989,0,1000,0
88,['KITCHEN'],45.0,"ALUGUEL SEM BUROCRACIA - Barroso. ÚLTIMAS UNIDADES !<br>APENAS UMA CAUÇÃO!<br><br>Ótimos apartamentos - sala, quarto, cozinha, banheiro, hall externo (acesso com portão), na cerâmica, super ventilado.<br><br>SEM TAXA DE MANUTENÇÃO! IMPERDÍVEL !<br><br>Agende sua visita e aproveite essa oferta: 85 3283.4050 / 98778.1967 - Whatsapp.<br><br>* Sujeito à alterações sem aviso prévio. -","Apartamento Residencial para Locação, Barroso, Fortaleza.",APARTMENT,0.0,0.0,0.0,RESIDENTIAL,1.0,Barroso,-3.7304512,-38.5217989,0,300,0
89,[],100.0,"O apartamento está localizado no bairro Aldeota com 100 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros<br><br>SALA, COZINHA, 02 QTOS, 01 SUÍTE, 01 VAGA<br><br>Cláudio Jereissati Imóveis Ltda<br>(85)3231.462/3254.6030<br>WhatsApp (85)98684,4262",Apartamento para aluguel possui 100 metros quadrados com 2 quartos em Aldeota - Fortaleza - CE,APARTMENT,1.0,1.0,1.0,RESIDENTIAL,2.0,Aldeota,-3.735048,-38.507534,720,1450,0
90,"['ELEVATOR', 'GATED_COMMUNITY', 'BALCONY', 'PETS_ALLOWED', 'AIR_CONDITIONING', 'SERVICE_AREA', 'PARTY_HALL', 'BEDROOM_WARDROBE', 'KITCHEN_CABINETS', 'SERVICE_ROOM']",310.0,"Apartamento no 15º andar do Edifício Lara ( Rua Torquato Aguar ), um por andar, uma quadra do aterro da Praia de Iracema, 310m2, 3 suítes, todas com varandas, armários e principal master, varandão da sala, sala 3 ambientes, sala de tv, copa/cozinha toda projetada, dependência completa de empregada, área de serviços;<br><br>Condomínio R$ 1.900,00<br>Oferece: 3 vagas de garagem, dois elevadores, portaria 24 horas, sistema integrado de segurança, salão de festas, sala de reunião e muito mais.<br><br>Solicite já uma visita com o corretor: João Paulo (nove, oito, sete, sete, quatro, quatro, três, três um)","Apto 15º Andar, Meireles, Edifífco Lara, uma quadra do Aterro.",APARTMENT,3.0,3.0,3.0,RESIDENTIAL,3.0,Meireles,-3.722853,-38.509141,1900,5200,0
91,[],35.0,"1 BANHEIRO, 1 COZINHA,LAVANDERIA, 1 QUARTO(S), 1 SALA",KITNET NO CENTRO,APARTMENT,0.0,0.0,0.0,RESIDENTIAL,1.0,Centro,-3.739076,-38.529349,0,490,0
94,"['ELEVATOR', 'BALCONY', 'PETS_ALLOWED', 'GARAGE', 'PARTY_HALL', 'NEAR_ACCESS_ROADS', 'NEAR_SCHOOL', 'NEAR_HOSPITAL', 'NEAR_SHOPPING_CENTER', 'NEAR_PUBLIC_TRANSPORT', 'SECURITY_24_HOURS']",51.0,"O canto que te oferece conforto, ar puro e ruas arborizadas, além de estar próximo a grandes supermercados, hospitais e faculdades, você encontra aqui na 7Cantos. O A apartamento está localizado no bairro Meireles, considerado um dos bairros mais prósperos de Fortaleza, o Meireles tem uma infraestrutura digna de bairro nobre. <br><br>O imóvel possui 51m² de área construída, muito bem distribuídos em 2 quartos sendo suítes, sala ampla com uma linda varanda, 3 banheiros, cozinha com armários embutidos, área de serviço e 1 vaga de garagem. <br><br>Não perca a oportunidade de viver em um ambiente que lhe oferece toda comodidade e tranquilidade de um bairro residencial. Ligue para a 7Cantos e agende sua visita",,APARTMENT,1.0,2.0,2.0,RESIDENTIAL,2.0,Meireles,-3.726083,-38.504444,900,1500,70
6,"['BALCONY', 'BACKYARD', 'PETS_ALLOWED', 'NEAR_ACCESS_ROADS', 'NEAR_SCHOOL', 'NEAR_HOSPITAL', 'NEAR_SHOPPING_CENTER', 'NEAR_PUBLIC_TRANSPORT']",340.0,"Para você que pretende alugar um canto com conforto, espaço e sofisticação a 7cantos lhe oferece esta linda casa, localizada no bairro Luciano Cavalcante, um dos mais conceituados de Fortaleza. O imóvel dispõe de 340m² de área, sendo bem distribuída em 4 quartos com armários embutidos, 6 banheiros sendo 4 suítes, sala ampla e varanda, agregando assim maior espaço. <br>A casa ainda conta com móveis projetados na cozinha, dependência de empregada, WC de serviço, 8 vagas de garagem, quintal grande e área verde. Enfim, tudo que você precisa para se divertir com sua família e amigos sem sair de casa. <br>Sem sombra de dúvidas, este é o lugar ideal para construir lindas histórias com as pessoas que você ama. Entre em contato conosco e agende sua visita",,HOME,5.0,4.0,4.0,RESIDENTIAL,4.0,Engenheiro Luciano Cavalcante,-3.771679,-38.498933,0,5500,192
8,"['GARAGE', 'KITCHEN', 'SERVICE_AREA']",91.0,"Agora você pode morar nesta bela casa com 3 quartos, a poucos metros do Ginásio Paulo Sarasate.<br><br>- salas estar e jantar<br>- 1 suíte<br>- banheiro social<br>- cozinha<br>- área de serviço<br>- 1 vaga de garagem<br><br>Não perca a oportunidade de estar localizado próximo ao Supermercado GBarbosa, unidades de saúde, agência bancária, posto de combustível, entre outros.<br><br>Agende uma visita e confira agora mesmo.","Casa para aluguel, 3 quartos, 1 suíte, 1 vaga, Aldeota - Fortaleza/CE",HOME,1.0,1.0,1.0,RESIDENTIAL,3.0,Centro,-3.7304512,-38.5217989,0,1200,293
9,"['BARBECUE_GRILL', 'BACKYARD', 'PETS_ALLOWED', 'AIR_CONDITIONING', 'SERVICE_AREA', 'INTERCOM']",107.0,"Casa Duplex na Messejana<br><br>Fica só os moveis projetados e ar condicionado<br><br>5 X 33 Área total<br>3 quartos sendo 1 suíte, Wc social, Lavabo; 4 vagas descobertas;<br>Área de serviço;<br>Quintal com chuveirão e churrasqueira.<br><br>Endereço: Rua jaqueline bastos, 294<br><br>Casa Duplex à 626 metros da Casas Freitas da Av. Washington Soares. Voltada para o nascente com móveis fixos nos quartos e na cozinha. Imóvel em ótimo estado de conservação.",Casa Duplex na Messejana 3 quartos,HOME,4.0,1.0,1.0,RESIDENTIAL,3.0,São Bento,-3.851845,-38.479377,0,2000,470
10,"['NEAR_HOSPITAL', 'NEAR_PUBLIC_TRANSPORT']",25.0,"<b>REGIÃO DE IMPORTANTE LIGAÇÃO COM CENTRO DE FORTALEZA </b><br> <br><b>PARA ESTUDADES PRÉ UNIVERSITÁRIOS E UNIVERSITÁRIOS.</b><br> <br><b>Sala/quarto, cozinha, banheiro social.</b><br> <br>Localização privilegiada por trás da Av. Domingo Olimpio, importante avenida de ligação com vários bairros de nossa região, próximo a supermercados, farmácia, Escolas, Faculdades entre outros comércios da localidade, região com boa circulação de pessoas.<br> <br><b>Garantia da locação:</b><br>Fiador com imóvel quitado em Fortaleza ou região metropolitana ou 2x o valor do aluguel.<br> <br>",Locação Kitchenette José Bonifácio Fortaleza,APARTMENT,0.0,0.0,0.0,RESIDENTIAL,1.0,José Bonifácio,-3.7304512,-38.5217989,0,350,61
11,[],40.0,"Jeta Negócios Imobiliários - Creci: 21549<br>Centenas de opções de imóveis de todas as construtoras em Fortaleza e Eusébio!<br><br>++++++ Redes Sociais ++++++<br><br>WhatsApp: <br>Site: https://www.jetaimob.com.br/<br>Instagram: @jetaimob<br><br>++++++ Informações do Imóvel++++++<br><br>Área: 40,00 m²<br>Quartos: 1<br>Suítes: 1<br>Banheiros: 1<br>Sala de Estar e Jantar<br>Cozinha com Área de Serviço<br>Piso: Cerâmica<br><br>++++++ Observações ++++++<br><br>Os valores dos imóveis podem sofrer alterações sem aviso prévio, seguindo políticas de vendas das construtoras, incorporadoras e proprietários.<br><br>Temos também imóveis em diversas outras áreas de Fortaleza, como : Bom Jardim, Centro, Aldeota, Damas, Amadeu Furtado, Parquelandia, Montese, Jardim América e Jardim das Oliveiras.<br><br>++++++ Mês de Referência ++++++<br><br>03/2022 -","Kitnet com 1 dormitório para alugar, 40 m² no Bom Jardim.",APARTMENT,0.0,0.0,0.0,RESIDENTIAL,1.0,Bom Jardim,-3.79336,-38.599037,0,350,0
13,[],98.0,"Apartamento com otima localização com 98 m², 01 quarto, 01 suíte, cozinha, área de serviço, com armários e móveis projetados, sala de estar e jantar.01 Vaga de garagem coberta.Condomínio fechado com portaria portão automático.","Apartamento com otima localização com 98 m², 01 quarto, 01 suíte, cozinha, área de serviço, com armá",APARTMENT,1.0,1.0,1.0,RESIDENTIAL,2.0,Joaquim Távora,-3.746084,-38.522079,0,1200,0
14,"['PARTY_HALL', 'SECURITY_24_HOURS']",140.0,"Adriano Freire Imóveis aluga/vende apartamento no Condomínio Edifício Monaliza, com 3 quartos (sendo 2 suítes, 1 delas com closet), sala de estar e jantar, cozinha com armários, banheiro social, dependência completa de empregada, área de serviço e 1 vaga de garagem. A mobília solta não está inclusa na locação/venda, somente os móveis fixos.<br><br><br>O condomínio dispõe de portaria 24h, salão de festas, são permitidos pets, incluso água no valor. <br><br><br>Localização: R. Vilebaldo Águiar, 1050 - Papicu, por trás do supermercado Frangolândia, esquina com Rua Professor Otávio Lobo. <br><br><br>Agende uma visita pelo nosso WhatsApp Comercial: .<br><br><br>Atualizado em","Apartamento com 3 quartos, próximo a Av. Santos Dumont - AP7322",APARTMENT,1.0,2.0,2.0,RESIDENTIAL,3.0,Cocó,-3.743649,-38.478519,937,1600,81
15,"['FURNISHED', 'ELEVATOR', 'BALCONY', 'AIR_CONDITIONING', 'GARDEN', 'NEAR_ACCESS_ROADS', 'NEAR_SHOPPING_CENTER']",140.0,"O apartamento tem 140 metros quadrados no bairro Meireles com 3 quartos sendo 1 suíte e 3 banheiros. Próximo a shoppings, hospitais, universidades, restaurantes e escolas.<br>Possui área verde de jardim.<br>O apartamento vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.<br><br>Elevador para mais praticidade no dia-a-dia.<br>Já tem os móveis incluídos.",Apartamento para venda tem 140 metros quadrados e 3 quartos em Meireles - Fortaleza - CE.,APARTMENT,2.0,1.0,1.0,RESIDENTIAL,3.0,Meireles,-3.7304512,-38.5217989,0,3000,0
16,"['KITCHEN', 'BACKYARD']",112.0,CA237- Imobiliária Luiz Rêgo aluga casa no Joaquim Távora com :<br><br>Sala / 2 quartos / banheiro / cozinha / área de serviço / dependência simples / quintal.<br><br>Alugamos com fiador ou caução.<br><br>Para maiores informações: ou pelo WhatsApp ou . -,"CA237 - Aluga casa no Joaquim Távora com 2 quartos, próximo ao Supermercado Cometa",HOME,0.0,0.0,0.0,RESIDENTIAL,2.0,Aldeota,-3.742939,-38.518995,0,900,0
